run,program,nbodies,time_sec
100,cpu_simd,12000,15.479367738
1,n-body,14000,357.239230409
2,n-body,14000,361.113907896
3,n-body,14000,361.424566633
4,n-body,14000,362.589840528
5,n-body,14000,361.470376163
6,n-body,14000,368.637355124
7,n-body,14000,362.233060226
8,n-body,14000,368.057234390
9,n-body,14000,361.301583644
10,n-body,14000,362.913486554
11,n-body,14000,361.842782883
12,n-body,14000,363.293411095
13,n-body,14000,362.078811434
14,n-body,14000,362.090796049
15,n-body,14000,361.498184707
16,n-body,14000,361.972393875
17,n-body,14000,369.388305791
18,n-body,14000,361.125582059
19,n-body,14000,368.038709773
20,n-body,14000,363.188875912
21,n-body,14000,362.735391731
22,n-body,14000,361.118167594
23,n-body,14000,362.040771317
24,n-body,14000,362.525936922
25,n-body,14000,361.503500747
26,n-body,14000,362.739427607
27,n-body,14000,361.875549467
28,n-body,14000,367.258293439
29,n-body,14000,361.863082901
30,n-body,14000,361.890899090
31,n-body,14000,361.078961690
32,n-body,14000,362.103230630
33,n-body,14000,377.493980564
34,n-body,14000,361.981955865
35,n-body,14000,368.521649039
36,n-body,14000,366.119731842
37,n-body,14000,361.383857267
38,n-body,14000,361.481414173
39,n-body,14000,361.168371740
40,n-body,14000,362.685857644
41,n-body,14000,363.561578949
42,n-body,14000,361.460032216
43,n-body,14000,394.206835704
44,n-body,14000,361.867139316
45,n-body,14000,361.173350019
46,n-body,14000,361.514831287
47,n-body,14000,379.693644760
48,n-body,14000,362.462931874
